taxon_name,level_1,level_3_phylo_div,ecological_group,gymnosperm
abies,Abies,Pinaceae,TRSH,TRUE
abies_2,Abies,Pinaceae,TRSH,TRUE
abies_plus_picea,Pinaceae,Pinaceae,TRSH,TRUE
acacia,Fabaceae (tree),Fabaceae,TRSH,FALSE
acalypha,Acalypha-type,Euphorbiaceae,UPHE,FALSE
acalypha_type,Acalypha-type,Euphorbiaceae,UPHE,FALSE
acanthaceae,Acanthaceae,Acanthaceae,UPHE,FALSE
accu_model_a,delete,delete,LABO,delete
acer,Acer,Sapindaceae,TRSH,FALSE
acer_campestre_type,Acer,Sapindaceae,TRSH,FALSE
achillea_type,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
aconitum,Ranunculaceae,Ranunculaceae,UPHE,FALSE
aconitum_napellus_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
aconitum_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
aconogonon,Polygonum,Polygonaceae,UPHE,FALSE
actinidia,Actinidia,Actinidiaceae,TRSH,FALSE
actinostemma,Cucurbitaceae,Cucurbitaceae,UPHE,FALSE
adenophora,Campanulaceae,Campanulaceae,UPHE,FALSE
adiantum,delete,delete,VACR,delete
adonis_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
aegopodium_podagraria,Apiaceae undifferentiated,Apiaceae,UPHE,FALSE
aerva_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
aesculus,Aesculus,Sapindaceae,UPHE,FALSE
aesculus_hippocastanum,Aesculus,Sapindaceae,TRSH,FALSE
aesculus_undifferentiated,Aesculus,Sapindaceae,TRSH,FALSE
age_kyr,delete,delete,LABO,delete
aglaia,Meliaceae,Meliaceae,TRSH,FALSE
ailanthus,Ailanthus,Simaroubaceae,TRSH,FALSE
aizoaceae,Aizoaceae,Aizoaceae,UPHE,FALSE
alangium,Alangium,Cornaceae,TRSH,FALSE
albizia,Fabaceae (tree),Fabaceae,TRSH,FALSE
alchemilla,Alchemilla-type,Rosaceae,UPHE,FALSE
alchemilla_type,Alchemilla-type,Rosaceae,UPHE,FALSE
alchornea,Euphorbiaceae (tropical),Euphorbiaceae,TRSH,FALSE
alchornea_type,Euphorbiaceae (tropical),Euphorbiaceae,TRSH,FALSE
algae,delete,delete,ALGA,delete
algenspore,delete,delete,ALGA,delete
alhagi,Fabaceae,Fabaceae,TRSH,FALSE
alisma,delete,delete,AQVP,delete
alisma_type,delete,delete,AQVP,delete
alismataceae,delete,delete,AQVP,delete
alismataceae_t,delete,delete,AQVP,delete
alliaceae,Liliaceae s. l.,Amaryllidaceae,UPHE,FALSE
allium,Liliaceae s. l.,Amaryllidaceae,UPHE,FALSE
allium_type,Liliaceae s. l.,Amaryllidaceae,UPHE,FALSE
allium_ursinum_type,Liliaceae s. l.,Amaryllidaceae,UPHE,FALSE
allophyllus,Sapindaceae,Sapindaceae,TRSH,FALSE
alnus,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_baum,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_fruticosa_type,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_glutinosa,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_glutinosa_type,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_nepalensis,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_shrub,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_sp,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_strauch,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_subg_alnobetula,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_tree,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_undif,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_undiff,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_undifferentiated,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_viridis,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_viridis_type,"Alnus, shrub",Betulaceae,TRSH,FALSE
alstonia,Apocynaceae,Apocynaceae,TRSH,FALSE
alternanthera_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
altingia,Hamamelidaceae,Altingiaceae,TRSH,FALSE
amaranthaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
amaranthaceae_type,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
amaranthus,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
ambrosia,Ambrosia-type,Asteraceae,UPHE,FALSE
ambrosia_type,Ambrosia-type,Asteraceae,UPHE,FALSE
amphitrema,delete,delete,TEAM,delete
anabasis,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
anacaediaceae,Anacardiaceae,Anacardiaceae,TRSH,FALSE
anacardiaceae,Anacardiaceae,Anacardiaceae,TRSH,FALSE
anagallis_type,Anagallis-type,Primulaceae,UPHE,FALSE
anaphalis_blumea_senecio,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
anchusa_type,Boraginaceae,Boraginaceae,UPHE,FALSE
androsace,Primulaceae,Primulaceae,UPHE,FALSE
androsaceae,Primulaceae,Primulaceae,UPHE,FALSE
anemone_clematis_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
anemone_nemorosa_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
anemone_ranunculus,Ranunculaceae,Ranunculaceae,UPHE,FALSE
anemone_sect_pulsatilla,Ranunculaceae,Ranunculaceae,UPHE,FALSE
