taxon_name,level_1,level_3_phylo_div,ecological_group,gymnosperm
abies,Abies,Pinaceae,TRSH,TRUE
abies_sibirica,Abies,Pinaceae,TRSH,TRUE
acer,Acer,Sapindaceae,TRSH,FALSE
aconitum,Ranunculaceae,Ranunculaceae,UPHE,FALSE
actaea,Ranunculaceae,Ranunculaceae,UPHE,FALSE
alchemilla,Alchemilla,Rosaceae,UPHE,FALSE
algae,delete,delete,ALGA,delete
alisma,delete,delete,AQVP,delete
alisma_plantago_minus_aquatica,delete,delete,AQVP,delete
alismataceae,delete,delete,AQVP,delete
allium,Liliaceae,Amaryllidaceae,UPHE,FALSE
aln_type_1,Alnus undifferentiated,Betulaceae,TRSH,FALSE
aln_type_2,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_fruticosa,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_glutinosa,"Alnus, tree",Betulaceae,TRSH,FALSE
alnus_hirsuta,"Alnus, tree",Betulaceae,TRSH,FALSE
alnus_hirsuta_type,"Alnus, tree",Betulaceae,TRSH,FALSE
alnus_incana,"Alnus, tree",Betulaceae,TRSH,FALSE
alnus_shrub,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_subg_alnobetula,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_tree,"Alnus, tree",Betulaceae,TRSH,FALSE
alnus_undiff,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_undifferentiated,Alnus undifferentiated,Betulaceae,TRSH,FALSE
alnus_viridis,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_viridis_ssp_fruticosa,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_viridis_subsp_fruticosa,"Alnus, shrub",Betulaceae,TRSH,FALSE
alnus_viridis_subsp_fruticosa_type,"Alnus, shrub",Betulaceae,TRSH,FALSE
amaranthaceae,Amaranthaceae/Chenopodiaceae,Amaranthaceae,UPHE,FALSE
ambrosia,Ambrosia/Xanthium,Asteraceae,UPHE,FALSE
andromeda,Ericaceae,Ericaceae,TRSH,FALSE
androsace,Primulaceae,Primulaceae,UPHE,FALSE
androsaceae,Primulaceae,Primulaceae,UPHE,FALSE
anemone,Ranunculaceae,Ranunculaceae,UPHE,FALSE
anemone_sect_hepatica,Ranunculaceae,Ranunculaceae,UPHE,FALSE
anemone_sect_pulsatilla_type,Ranunculaceae,Ranunculaceae,UPHE,FALSE
angelica_sylvestris,Angelica sylvestris,Apiaceae,UPHE,FALSE
angiospermae_undiff_herbs,delete,delete,UPHE,delete
anthemis,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
anthemis_type,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
anthoceros,delete,delete,UPBR,delete
apiaceae,Apiaceae,Apiaceae,UPHE,FALSE
aquifoliaceae,Aquifoliaceae,Aquifoliaceae,TRSH,FALSE
aquilegia_undiff,Ranunculaceae,Ranunculaceae,UPHE,FALSE
araliaceae,Araliaceae,Araliaceae,UPHE,FALSE
arctostaphylos,Ericaceae,Ericaceae,TRSH,FALSE
arenaria_type,Caryophyllaceae,Caryophyllaceae,UPHE,FALSE
artemisia,Artemisia,Asteraceae,UPHE,FALSE
aster,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
aster_type,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
asteraceae,Asteraceae undifferentiated,Asteraceae,UPHE,FALSE
asteraceae_asteroideae,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
asteraceae_cichorioideae,Asteraceae Cichorioideae,Asteraceae,UPHE,FALSE
asteraceae_undiff,Asteraceae undifferentiated,Asteraceae,UPHE,FALSE
asteroideae,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
asteroideae_undiff,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
astragalus_type,"Fabaceae, shrub",Fabaceae,UPHE,FALSE
athemis,Asteraceae Asteroideae,Asteraceae,UPHE,FALSE
balsaminaceae,Balsaminaceae,Balsaminaceae,UPHE,FALSE
bergenia_crassifolia,Saxifraga undifferentiated,Saxifragaceae,UPHE,FALSE
betaea_type_1,Betula undifferentiated,Betulaceae,TRSH,FALSE
betaea_type_2,Betula undifferentiated,Betulaceae,TRSH,FALSE
betaea_type_3,Betula undifferentiated,Betulaceae,TRSH,FALSE
betula,Betula undifferentiated,Betulaceae,TRSH,FALSE
